순위,가수,제목
85,소정 (레이디스 코드)소정 (레이디스 코드),함께 했는데 이별은 나 혼자인 거야
86,아이유아이유,봄 안녕 봄
87,가호 (Gaho)가호 (Gaho),시작
88,허각허각,우린 어쩌다 헤어진 걸까
89,10CM10CM,서울의 잠 못 이루는 밤 (Feat. 이수현)
90,신예영신예영,우리 왜 헤어져야 해
91,Dua LipaDua Lipa,Don't Start Now
92,블루 (BLOO)블루 (BLOO),Downtown Baby
93,Conan GrayConan Gray,Maniac
94,릴보이 (lIlBOI)릴보이 (lIlBOI),"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))"
95,백지영백지영,거짓말이라도 해서 널 보고싶어
96,폴킴폴킴,안녕
97,순순희순순희,서면역에서
98,아이유아이유,Flu
99,벤벤,혼술하고 싶은 밤
100,원슈타인원슈타인,캥거루
